domain,country_code,country_name,isp,asn,exit_node_isp,geodb_asn,geodb_as_name,asn_match,ech_grease,go_error,curl_exit_code,curl_error_name,curl_error_message,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status,http_connect_status
cloudflare-ech.com,AM,Armenia,telecom armenia ojsc,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,53,0,525
cloudflare-ech.com,AO,Angola,unitel,37119,unitel,37119,UNITEL SA,true,false,,0,,,0,2,837,1449,1450,301,200
cloudflare-ech.com,AM,Armenia,telecom armenia ojsc,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,56,0,525
cloudflare-ech.com,AG,Antigua and Barbuda,apua,11594,apua,11594,APUA,true,true,,0,,,0,2,755,1095,1095,301,200
cloudflare-ech.com,AG,Antigua and Barbuda,flow,14813,flow,14813,Columbus Telecommunications (Barbados) Limited,true,true,,0,,,0,2,627,995,996,301,200
cloudflare-ech.com,AW,Aruba,new millennium telecom services n.v.,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,48,0,525
cloudflare-ech.com,AW,Aruba,new millennium telecom services n.v.,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,56,0,525
cloudflare-ech.com,AO,Angola,aas1,328943,aas1,328943,Africell Angola S.A,true,true,,0,,,0,2,1085,1669,1669,301,200
cloudflare-ech.com,AR,Argentina,personal,7303,personal,7303,Telecom Argentina S.A.,true,false,,0,,,0,2,903,1342,1342,301,200
cloudflare-ech.com,AM,Armenia,ucom,44395,ucom,44395,Ucom CJSC,true,false,,0,,,0,2,571,872,873,301,200
cloudflare-ech.com,AR,Argentina,personal,7303,personal,7303,Telecom Argentina S.A.,true,true,,0,,,0,2,926,1401,1401,301,200
cloudflare-ech.com,AW,Aruba,setar aruba,11816,setar aruba,11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.,true,true,,0,,,0,2,577,874,874,301,200
cloudflare-ech.com,AM,Armenia,viva armenia cjsc,43733,viva armenia cjsc,43733,Viva Armenia CJSC,true,false,,0,,,0,2,901,1256,1256,301,200
cloudflare-ech.com,AW,Aruba,setar aruba,11816,setar aruba,11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.,true,false,,0,,,0,1,497,803,804,301,200
cloudflare-ech.com,AM,Armenia,ucom,44395,ucom,44395,Ucom CJSC,true,true,,0,,,0,2,587,900,900,301,200
cloudflare-ech.com,AM,Armenia,viva armenia cjsc,43733,viva armenia cjsc,43733,Viva Armenia CJSC,true,true,,0,,,0,2,619,1019,1019,301,200
cloudflare-ech.com,AR,Argentina,claro argentina,11664,claro argentina,11664,Techtel LMDS Comunicaciones Interactivas S.A.,true,false,,0,,,0,2,1220,1655,1655,301,200
cloudflare-ech.com,AU,Australia,telstra internet,1221,telstra internet,1221,Telstra Limited,true,true,,0,,,0,2,867,1274,1275,301,200
cloudflare-ech.com,AR,Argentina,claro argentina,11664,claro argentina,11664,Techtel LMDS Comunicaciones Interactivas S.A.,true,true,,0,,,0,2,865,1678,1679,301,200
cloudflare-ech.com,AT,Austria,hutchison drei austria gmbh,25255,hutchison drei austria gmbh,25255,Hutchison Drei Austria GmbH,true,false,,0,,,0,2,377,605,606,301,200
cloudflare-ech.com,AT,Austria,hutchison drei austria gmbh,25255,hutchison drei austria gmbh,25255,Hutchison Drei Austria GmbH,true,true,,0,,,56,58,436,670,670,301,200
cloudflare-ech.com,AT,Austria,mass response service,51265,mass response service,51265,Mass Response Service GmbH,true,true,,0,,,0,2,375,611,612,301,200
cloudflare-ech.com,AU,Australia,telstra internet,1221,telstra internet,1221,Telstra Limited,true,false,,0,,,0,2,1090,1492,1492,301,200
cloudflare-ech.com,AT,Austria,mass response service,51265,mass response service,51265,Mass Response Service GmbH,true,false,,0,,,0,2,485,733,734,301,200
cloudflare-ech.com,AT,Austria,magenta telekom,8412,magenta telekom,8412,T-Mobile Austria GmbH,true,false,,0,,,0,2,504,750,750,301,200
cloudflare-ech.com,AU,Australia,optus,4804,optus,4804,SingTel Optus Pty Ltd,true,true,,0,,,0,2,1313,1861,1862,301,200
cloudflare-ech.com,AZ,Azerbaijan,nar,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",1,2,0,0,64,0,525
cloudflare-ech.com,AZ,Azerbaijan,nar,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,63,0,525
cloudflare-ech.com,AT,Austria,magenta telekom,8412,magenta telekom,8412,T-Mobile Austria GmbH,true,true,,0,,,0,2,421,672,672,301,200
cloudflare-ech.com,AZ,Azerbaijan,azercell telecom,31721,azercell telecom,31721,"""Azercell Telecom Ltd"" Azerbaijan-Turkey Joint Venture",true,false,,0,,,0,2,442,655,655,301,200
cloudflare-ech.com,AU,Australia,optus,4804,optus,4804,SingTel Optus Pty Ltd,true,false,,0,,,0,2,1175,1773,1773,301,200
cloudflare-ech.com,AZ,Azerbaijan,azercell telecom,31721,azercell telecom,31721,"""Azercell Telecom Ltd"" Azerbaijan-Turkey Joint Venture",true,true,,0,,,0,2,452,679,679,301,200
