domain,country_code,country_name,isp,asn,exit_node_ip,exit_node_isp,ech_grease,error,curl_exit_code,curl_error_name,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status
www.google.com,AG,Antigua and Barbuda,digicel,33576,104.255.178.198,digicel,true,,0,OK,1,3,3850,4855,5183,200
www.google.com,AW,Aruba,new millennium telecom services n.v.,264645,138.255.255.83,new millennium telecom services n.v.,true,,0,OK,1,3,603,903,941,200
www.google.com,AU,Australia,vocus,,,,false,,56,CURLE_RECV_ERROR,2,4,0,0,75,0
www.google.com,AU,Australia,vocus,,,,true,,56,CURLE_RECV_ERROR,2,3,0,0,74,0
www.google.com,AM,Armenia,telecom armenia ojsc,12297,87.241.145.77,telecom armenia ojsc,false,,0,OK,1,3,651,1379,1484,200
www.google.com,AM,Armenia,ucom,44395,178.78.134.29,ucom,false,,0,OK,2,3,1400,2457,2817,200
www.google.com,AF,Afghanistan,afghan telecom,55330,180.94.93.147,afghan telecom,true,,0,OK,77,78,6095,8842,9324,200
www.google.com,AT,Austria,mass response service,51265,41.66.123.77,mass response service,false,,0,OK,1,2,376,979,1025,200
www.google.com,AM,Armenia,ucom,44395,178.78.134.29,ucom,true,,0,OK,2,4,1259,2596,2997,200
www.google.com,AM,Armenia,viva armenia cjsc,43733,217.76.10.55,viva armenia cjsc,false,,0,OK,2,4,1496,3427,3698,200
www.google.com,AM,Armenia,viva armenia cjsc,43733,217.76.10.55,viva armenia cjsc,true,,0,OK,1,3,2403,3322,3468,200
www.google.com,AO,Angola,aas1,328943,102.218.85.89,aas1,false,,0,OK,1,3,4519,7156,7530,200
www.google.com,AT,Austria,hutchison drei austria gmbh,25255,178.115.77.72,hutchison drei austria gmbh,false,,0,OK,2,4,688,1340,1488,200
www.google.com,AT,Austria,hutchison drei austria gmbh,25255,178.115.77.72,hutchison drei austria gmbh,true,,0,OK,1,3,792,1426,1500,200
www.google.com,AU,Australia,vodafone australia,133612,120.17.139.60,vodafone australia,true,,0,OK,1,3,1768,2650,2660,200
www.google.com,AU,Australia,optus,4804,49.182.139.76,optus,true,,0,OK,2,3,1769,2599,2885,200
www.google.com,AF,Afghanistan,afghan telecom,55330,180.94.93.147,afghan telecom,false,,0,OK,76,82,7950,10588,11158,200
www.google.com,AT,Austria,1global,,,,true,,56,CURLE_RECV_ERROR,2,4,0,0,88,0
www.google.com,AT,Austria,1global,,,,false,,56,CURLE_RECV_ERROR,1,4,0,0,89,0
www.google.com,AT,Austria,mass response service,51265,41.66.123.77,mass response service,true,,0,OK,2,4,365,947,1009,200
www.google.com,AU,Australia,telstra internet,1221,1.145.241.199,telstra internet,false,,0,OK,2,4,2241,2874,3166,200
www.google.com,AT,Austria,hutchison drei austria,8437,213.90.120.122,hutchison drei austria,true,,0,OK,2,4,586,1207,1278,200
www.google.com,AU,Australia,optus,4804,49.182.139.76,optus,false,,0,OK,2,3,2205,2991,3048,200
www.google.com,AU,Australia,vodafone australia,133612,120.17.139.60,vodafone australia,false,,0,OK,2,3,2754,3452,3506,200
www.google.com,AT,Austria,telekom austria,8447,213.225.33.219,telekom austria,false,,0,OK,1,4,558,1300,1362,200
www.google.com,AT,Austria,lycamobile,31404,83.137.6.60,lycamobile,false,,0,OK,2,3,706,1070,1173,200
www.google.com,AT,Austria,hutchison drei austria,8437,213.90.120.122,hutchison drei austria,false,,0,OK,2,3,990,1606,1674,200
www.google.com,BS,Bahamas,alivfibr,,,,true,,56,CURLE_RECV_ERROR,1,3,0,0,67,0
www.google.com,AT,Austria,telekom austria,8447,213.225.33.219,telekom austria,true,,0,OK,2,4,526,1333,1334,200
www.google.com,AT,Austria,lycamobile,31404,83.137.6.60,lycamobile,true,,0,OK,2,3,1056,1419,1492,200
www.google.com,BS,Bahamas,cable bahamas,15146,24.51.125.141,cable bahamas,false,,0,OK,2,4,264,508,509,200
www.google.com,BS,Bahamas,bahamas telecommunications corporation,8014,108.60.250.198,bahamas telecommunications corporation,false,,0,OK,2,4,355,567,615,200
www.google.com,BS,Bahamas,alivfibr,,,,false,,56,CURLE_RECV_ERROR,2,4,0,0,71,0
www.google.com,BS,Bahamas,cable bahamas,15146,24.51.125.141,cable bahamas,true,,0,OK,2,3,510,700,752,200
www.google.com,AZ,Azerbaijan,azercell telecom,31721,5.191.104.195,azercell telecom,true,,0,OK,1,3,637,1435,1539,200
www.google.com,BS,Bahamas,bahamas telecommunications corporation,8014,108.60.250.198,bahamas telecommunications corporation,true,,0,OK,2,4,240,417,479,200
www.google.com,AT,Austria,magenta telekom,8412,46.124.160.196,magenta telekom,false,,0,OK,93,95,1018,1789,3075,200
www.google.com,BS,Bahamas,bealiv ltd,15146,65.75.86.177,bealiv ltd,false,,0,OK,1,3,412,682,779,200
www.google.com,AU,Australia,telstra internet,1221,1.145.241.199,telstra internet,true,,0,OK,2,4,3238,4096,4552,200
www.google.com,AZ,Azerbaijan,nar,42779,77.244.116.241,nar,false,,0,OK,1,4,761,1541,1624,200
www.google.com,BS,Bahamas,bealiv ltd,15146,65.75.86.177,bealiv ltd,true,,0,OK,2,4,554,820,914,200
www.google.com,AZ,Azerbaijan,bakcell,197830,5.44.35.92,bakcell,false,,0,OK,2,3,715,1517,1692,200
www.google.com,AZ,Azerbaijan,azercell telecom,31721,5.191.104.195,azercell telecom,false,,0,OK,2,4,1261,2076,2200,200
www.google.com,AZ,Azerbaijan,nar,42779,77.244.116.241,nar,true,,0,OK,2,3,1211,2012,2190,200
www.google.com,AZ,Azerbaijan,bakcell,197830,5.44.35.92,bakcell,true,,0,OK,2,4,1330,2116,2216,200
www.google.com,BH,Bahrain,stc bahrain,51375,46.184.243.211,stc bahrain,true,,0,OK,1,3,782,1640,1749,200
www.google.com,AT,Austria,magenta telekom,8412,46.124.160.196,magenta telekom,true,,0,OK,2,4,3359,3958,4392,200
www.google.com,BD,Bangladesh,grameenphone,24389,37.111.239.198,grameenphone,false,,0,OK,2,4,898,1429,1520,200
www.google.com,BH,Bahrain,batelco,5416,193.188.123.88,batelco,false,,0,OK,2,3,830,1664,2097,200
www.google.com,BD,Bangladesh,banglalink,45245,202.86.216.24,banglalink,true,,0,OK,2,3,1050,1655,1817,200
www.google.com,BH,Bahrain,zain bahrain b.s.c.,31452,109.161.144.104,zain bahrain b.s.c.,false,,0,OK,2,4,1088,1966,2117,200
www.google.com,BD,Bangladesh,robi,24432,42.0.4.223,robi,false,,0,OK,1,3,992,1565,1671,200
www.google.com,BH,Bahrain,stc bahrain,51375,46.184.243.211,stc bahrain,false,,0,OK,1,3,1414,2242,2340,200
www.google.com,BB,Barbados,digicel barbados,,,,false,,56,CURLE_RECV_ERROR,2,4,0,0,85,0
www.google.com,BB,Barbados,digicel barbados,,,,true,,56,CURLE_RECV_ERROR,2,4,0,0,74,0
www.google.com,BD,Bangladesh,grameenphone,24389,37.111.239.198,grameenphone,true,,0,OK,1,3,1518,2009,2089,200
www.google.com,BD,Bangladesh,telenor,24389,37.111.221.44,telenor,false,,0,OK,2,4,825,1547,1548,200
www.google.com,BB,Barbados,flow,14813,192.235.61.213,flow,true,,0,OK,2,4,422,696,768,200
www.google.com,BD,Bangladesh,banglalink,45245,202.86.216.24,banglalink,false,,0,OK,2,3,1225,1932,2098,200
www.google.com,BH,Bahrain,zain bahrain b.s.c.,31452,109.161.144.104,zain bahrain b.s.c.,true,,0,OK,1,3,1739,2807,2959,200
