domain,country_code,country_name,isp,asn,exit_node_ip,exit_node_isp,ech_grease,error,curl_exit_code,curl_error_name,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status
mail.google.com,AW,Aruba,new millennium telecom services n.v.,264645,138.255.255.83,new millennium telecom services n.v.,false,,0,OK,1,2,690,946,947,301
mail.google.com,AR,Argentina,claro argentina,11664,181.239.207.122,claro argentina,true,,0,OK,1,2,1628,2140,2141,301
mail.google.com,AM,Armenia,ucom,44395,178.78.134.29,ucom,false,,0,OK,1,3,897,1556,1558,301
mail.google.com,AW,Aruba,new millennium telecom services n.v.,264645,138.255.255.83,new millennium telecom services n.v.,true,,0,OK,1,3,820,1049,1050,301
mail.google.com,AM,Armenia,telecom armenia ojsc,12297,87.241.145.77,telecom armenia ojsc,true,,0,OK,49,51,1071,1416,1416,301
mail.google.com,AM,Armenia,ucom,44395,178.78.134.29,ucom,true,,0,OK,63,64,1105,1497,1498,301
mail.google.com,AU,Australia,vocus,,,,false,,56,CURLE_RECV_ERROR,1,3,0,0,71,0
mail.google.com,AU,Australia,vocus,,,,true,,56,CURLE_RECV_ERROR,1,3,0,0,73,0
mail.google.com,AR,Argentina,personal,7303,181.9.210.136,personal,false,,0,OK,1,3,904,2817,2818,301
mail.google.com,AU,Australia,telstra internet,1221,1.146.76.17,telstra internet,false,,0,OK,1,3,999,1631,1632,301
mail.google.com,AM,Armenia,viva armenia cjsc,43733,217.76.13.73,viva armenia cjsc,true,,0,OK,1,3,1883,2400,2401,301
mail.google.com,AT,Austria,hutchison drei austria gmbh,25255,178.165.203.8,hutchison drei austria gmbh,false,,0,OK,1,3,555,803,804,301
mail.google.com,AR,Argentina,personal,7303,181.9.210.136,personal,true,,0,OK,1,3,2353,2861,2862,301
mail.google.com,AF,Afghanistan,afghan wireless communication company,138322,152.36.193.223,afghan wireless communication company,false,,0,OK,48,50,4961,7378,7379,301
mail.google.com,AG,Antigua and Barbuda,digicel,33576,104.255.178.198,digicel,true,,0,OK,1,3,2802,4329,4329,301
mail.google.com,AT,Austria,hutchison drei austria gmbh,25255,178.165.203.8,hutchison drei austria gmbh,true,,0,OK,1,3,1045,1317,1318,301
mail.google.com,AU,Australia,telstra internet,1221,1.146.76.17,telstra internet,true,,0,OK,1,2,1497,2067,2068,301
mail.google.com,AU,Australia,vodafone australia,133612,120.16.8.150,vodafone australia,true,,0,OK,1,2,1125,1941,1942,301
mail.google.com,AT,Austria,1global,,,,false,,56,CURLE_RECV_ERROR,1,2,0,0,75,0
mail.google.com,AM,Armenia,viva armenia cjsc,43733,217.76.13.73,viva armenia cjsc,false,,0,OK,1,3,2777,3311,3313,301
mail.google.com,AO,Angola,unitel,37119,105.168.40.54,unitel,false,,0,OK,1,3,4162,6409,6410,301
mail.google.com,AT,Austria,1global,,,,true,,56,CURLE_RECV_ERROR,1,4,0,0,90,0
mail.google.com,AT,Austria,mass response service,51265,41.66.96.93,mass response service,false,,0,OK,1,3,1398,1683,1684,301
mail.google.com,AT,Austria,telekom austria,8447,213.225.6.105,telekom austria,false,,0,OK,1,3,802,1080,1080,301
mail.google.com,AT,Austria,lycamobile,31404,83.137.6.60,lycamobile,false,,0,OK,1,3,613,927,928,301
mail.google.com,AT,Austria,hutchison drei austria,8437,213.90.120.122,hutchison drei austria,false,,0,OK,1,2,412,649,650,301
mail.google.com,AU,Australia,optus,4804,211.30.133.209,optus,true,,0,OK,1,3,2294,3109,3110,301
mail.google.com,AT,Austria,magenta telekom,8412,46.124.143.121,magenta telekom,false,,0,OK,1,3,1358,2006,2008,301
mail.google.com,AT,Austria,telekom austria,8447,213.225.6.105,telekom austria,true,,0,OK,1,2,1003,1473,1474,301
mail.google.com,AU,Australia,vodafone australia,133612,120.16.8.150,vodafone australia,false,,0,OK,1,3,2053,2649,2650,301
mail.google.com,AT,Austria,hutchison drei austria,8437,213.90.120.122,hutchison drei austria,true,,0,OK,1,2,816,1035,1036,301
mail.google.com,AT,Austria,lycamobile,31404,83.137.6.60,lycamobile,true,,0,OK,1,3,639,956,957,301
mail.google.com,BS,Bahamas,alivfibr,,,,false,,56,CURLE_RECV_ERROR,1,3,0,0,61,0
mail.google.com,BS,Bahamas,bahamas telecommunications corporation,8014,108.60.250.198,bahamas telecommunications corporation,false,,0,OK,1,3,373,613,614,301
mail.google.com,BS,Bahamas,alivfibr,,,,true,,56,CURLE_RECV_ERROR,1,3,0,0,64,0
mail.google.com,AZ,Azerbaijan,nar,42779,77.244.116.241,nar,false,,0,OK,1,3,636,1050,1051,301
mail.google.com,AT,Austria,mass response service,51265,41.66.96.93,mass response service,true,,0,OK,1,3,1098,1783,1784,301
mail.google.com,BS,Bahamas,bahamas telecommunications corporation,8014,108.60.250.198,bahamas telecommunications corporation,true,,0,OK,1,2,465,634,635,301
